id,type,rating,dibl,dibu,song,episode,episodeID,episodeType,episodeLength,cleaned_rating,rating_numeric,dibl_copy,dibl_numeric
175,S'mores,1/5,Not Done,0,- No Song -,S'mores Sausage,IwpKXXhMyxY,YouTube Comments Suggestions,01:00,1,1.0,Not Done,
176,Yak,6/5,1,0,Once in a Lifetime,Making Yak Sausage with an Antique Meat Grinder,NPBc68C3Tg4,Standard,05:50,6,6.0,1/5 Mark Ruffalos,1.0
177,7-Eleven Foods,1.5/5,1,1,- No Song -,I went to 7-Eleven and made a Sausage with their food,wTG7K9JO1gQ,Standard,05:22,1.5,1.5,1/5 Mark Ruffalos,1.0
178,Cookie Dough,0/5,2,1,- No Song -,Cookie Dough Sausage,ZkqzDs9jIKU,YouTube Comments Suggestions,01:00,0,0.0,2/5 Mark Ruffalos,2.0
179,Stuffed Mushrooms,1/5,1,1,- No Song-,Stuffed Mushrooms Sausage,4QX0TDio8wY,Standard,03:24,1,1.0,1/5 Mark Ruffalos,1.0
180,Healthy Choice Chicken Marsala,2/5,5,1,This Cloud,Battle of the Frozen Meals Sausage,LkY_TttvxSw,Standard,05:28,2,2.0,5/5 Mark Ruffalos,5.0
181,Lean Cuisine Chicken Marsala,1/5,5,1,This Cloud,Battle of the Frozen Meals Sausage,LkY_TttvxSw,Standard,05:28,1,1.0,5/5 Mark Ruffalos,5.0
182,Salt,0/5,Not Done,0,- No Song -,Salt Sausage,FKDhWLLzv-g,YouTube Comments Suggestions,01:00,0,0.0,Not Done,
183,Stuffed Cabbage Rolls,4/5,3,0,Welcome To The Jungle,Stuffed Cabbage Rolls Sausage,pg9BXgySCqQ,Standard,04:34,4,4.0,3/5 Mark Ruffalos,3.0
184,Deviled Eggs,0.5/5,4,0,Santeria,Deviled Eggs Sausage,dM-7Q6xK5gk,Standard,05:41,0.5,0.5,4/5 Mark Ruffalos,4.0
185,Cotton Candy,0/5,Not Done,0,- No Song -,Cotton Candy Sausage,nxraLRC4Jz8,YouTube Comments Suggestions,01:00,0,0.0,Not Done,
186,Chicken and Waffles,2/5,1,0,"We Built This City, War",Chicken and Waffles Sausage,1Al1EVZAiAM,Standard,05:27,2,2.0,1/5 Mark Ruffalos,1.0
187,Just Sous Vide,4/5,Not Done,0,- No Song -,Sous Vide Sausage,rl8C1gfhn8w,Standard,03:59,4,4.0,Not Done,
188,Sous Vide with Sear,5/5,Not Done,0,- No Song -,Sous Vide Sausage,rl8C1gfhn8w,Standard,03:59,5,5.0,Not Done,
189,Boiled with Sear,4.5/5,Not Done,0,- No Song -,Sous Vide Sausage,rl8C1gfhn8w,Standard,03:59,4.5,4.5,Not Done,
190,Habanero,0/5,5,0,- No Song -,Habanero Sausage,sYuQSr34yvk,YouTube Comments Suggestions,01:00,0,0.0,5/5 Mark Ruffalos,5.0
191,Guacamole,Disqualified,3,1,Lullaby,Guacamole Sausage,h_tZLo3Z2O4,Standard,04:02,Disqualified,,3/5 Mark Ruffalos,3.0
192,Fried Mozzarella Sticks,4/5,1,1,Run-Around,Fried Mozzarella Sticks Sausage,mHf5LxakShg,Standard,05:32,4,4.0,1/5 Mark Ruffalos,1.0
193,Cup of Noodles,1/5,5,0,- No Song -,Cup of Noodles Sausage,v2IZxFbpv0c,YouTube Comments Suggestions,01:00,1,1.0,5/5 Mark Ruffalos,5.0
194,Lamb Chops,4/5,0,0,Such Great Heights,Lamb Chomps Sausage,ph0hjjN__gE,Standard,04:16,4,4.0,0/5 Mark Ruffalos,0.0
195,Meatballs with Bulgogi-Sauce,4/5,Not Done,0,Knockin' on Heavens Door,Wendy's Chili Cheese Fries Sausage,WyBp2kx7ZRI,Standard,04:23,4,4.0,Not Done,
196,Wendy's Chili Cheese Fries,2.5/5,1,0,Knockin' on Heavens Door,Wendy's Chili Cheese Fries Sausage,WyBp2kx7ZRI,Standard,04:23,2.5,2.5,1/5 Mark Ruffalos,1.0
197,Fat,0/5,3,0,- No Song -,Oops All Fat Sausage,ZoqqzS1fFO8,YouTube Comments Suggestions,01:00,0,0.0,3/5 Mark Ruffalos,3.0
198,Lobster Mac n Cheese,2/5,1,0,I Wanna Kiss You All Over,Lobster Mac n Cheese Sausage,0-NIiXcDFYA,Standard,04:26,2,2.0,1/5 Mark Ruffalos,1.0
199,Olive Garden Tour of Italy,2/5,1,1,She's Always a Woman,Olive Garden Tour of Italy Sausage,lJJWLDinbQw,Standard,05:18,2,2.0,1/5 Mark Ruffalos,1.0
200,Mrs Sausage's Frozen Bread Sausage,2/5,Not Done,0,- No Song -,Mrs Sausage's Frozen Bread Sausage,sLxiat2LSA0,YouTube Comments Suggestions,01:00,2,2.0,Not Done,
201,Ostrich,3.5/5,1,0,Rocky Top,Ostrich Sausage,onVAkvB5_jI,Standard,05:12,3.5,3.5,1/5 Mark Ruffalos,1.0
202,Jack Daniels BBQ Pulled Pork Sausage,2/5,0,0,Gimme shelter,Jack Daniels BBQ Pulled Pork Sausage,Y3zNi686HHo,Standard,04:58,2,2.0,0/5 Mark Ruffalos,0.0
203,Gummy Bears,Disqualified,Not Done,1,- No Song -,Gummy Bears Sausage,xbcX2fNtjGE,YouTube Comments Suggestions,01:01,Disqualified,,Not Done,
204,Pineapple Fried Rice,Disqualified,5,1,Wouldn’t It Be Nice,Pineapple Fried Rice Sausage,HPf32r1LIwY,Standard,04:00,Disqualified,,5/5 Mark Ruffalos,5.0
